"score","review","y",""
"4","","1",""
"5","ㅈㅁㅌㅌㄱㄹ","1",""
"4","","1",""
"5","","1",""
"3","맛은 있지만 가성비는 좋지 않아요","0",""
"4","","1",""
"5","ㅈㅁㅌㅌㄱㄹ","1",""
"4","","1",""
"5","","1",""
"3","맛은 있지만 가성비는 좋지 않아요","0",""
"4","","1",""
"4","","1",""
"1","서비스 진짜 별로임.. 친구보다 5분정도 먼저와서 고기시켜놓고 잠시 기다리고 있는데 다른분 언제오냐고 겁나 물어보면서 눈치줌... 최악의 서비스.. 강남에 이런데가 잇다니 충격임. 직원분중이 키작으셧던 분 같은데 진짜 최악이고 드러웟음  ","0",""
"5","","1",""
"5","맛있음 반찬도 굿","1",""
"4","","1",""
"5","맛나게먹었어요","1",""
"1","숯불, 석쇠(그릴)위에 고기를 굽다보니 연기가 너무 심한건 둘째치고 고기에 그을음이 코팅되는군요. 목살에 마블링처럼 보이는 부분(목살에 웬 마블링?)은 먹어보니 힘줄 같네요. 등받이 없는 의자도 불편해요. 포장마차도 아니고 이 가격에... ","0",""
"3","그나마 먹을만한건 이베리코 목살","0",""
"1","애매하다. 목살은 너무 질겨서 충정로 *툼 보다 못하고, 항정살은 기름덩어리라 남영동 **돈만 못하고, 삼겹살이랑 된찌가 그래도 그나마 제일 낫다. 별 3개가 적당한데, 현 평점이 너무 높아서 1개 드려본다. 웨이팅하면서 먹을 곳은 아닌듯.","0",""
"5","숙성돼지라 맛있었어요~~ 친절하시고 고기도 잘 구워주세요 추가주문도 테블릿으로 해서 편하고 단점은 늦게가면 웨이팅이 있다는 점?? ","1",""
"4","괜찮음","1",""
"5","존맛탱!! 인생 삼겹살집 입니다요","1",""
"4","","1",""
"5","진심 대박 맛있고! 특별한건 직원분이 끝까지 구워주시는게 최고! 내 인생  최고의 고기집이였음!","1",""
"1","고기는 맛있는데 직원분들 태도는 그닥... 내 돈 주고가는데 왜 내가 가게직원 눈치를 봐야 하지?","0",""
"1","20분다되도록 고기안나와서 두번이나 얘기했는데  죄송하다는 말도 그닥 성의없이 하시고 고객응대 서비스는 최악이었습니다.  고기는 맛있긴 함.","0",""
"5","걍개마싯윰ㄹㅇ 좀비싸긴함","1",""
"5","고기는 맛있어요~","1",""
"5","고기 맛있어요ㅋㅋㅋ 된장밥 도 맛있고 비빔국수도 맛있고 유명해지기 전 부터 갔는데 .. 하 맛집이 되버려서 줄을 서야해서 우울하네요 ㅋㅋ","1",""
"4","콜키지프리, 이베리코목살은 퍽퍽했고 삼겹살 맛집","1",""
"5","이름값 갑 한입먹자마자 육즙 오지고 개존맛탱 ","1",""
"5","강남역 고깃집중에서는 최고입니다~ 고기자체 숙성이잘된건지 확실히 일반 체인점고깃집들하고는 차이가 있네요 ㅎㅎ ","1",""
"1","직원들이 불친절. 바빠서 그런건 이해되는데 고기먹으러 갔다가 기분 잡침. ","0",""
"1","별점 1점도 아까운 수준의 서비스 그렇게 저렴한 가격도 아닌 곳이 서비스는 왜저렇게 저렴한지 모르겠음.   처음에 웨이팅 있냐고 전화로 물어봤는데, “웨이팅 있어요?” “네”  -> 웨이팅 있냐고 물으면 몇 팀정도 혹은 얼마나 기다려야하는지 말해줘야하는데 네 라니..? 강남역에 딱히 먹을만한 곳이 없어서 갔는데, 일하는 알바생들은 화가난것처럼 돌아다면서 고...","0",""
"1","너무너무 진짜 너무너무 시끄럽고 너무너무 느끼","0",""
"1","맛은 있지만 직원 실수를 손님한태 뭐라하면 어쩌라는건지","0",""
"5","","1",""
"2","아 진짜...... 일단 양념같은것도 안 되어 있어서 너무너무 과하게 느끼해요 원래 곱창이 느끼하다지만 이건 좀...선넘음  글고 직원이 볶음밥 나중에 시켜도 된다해서 나중에 시켰는데 여사님이 왜 지금 시키냐는 식으로 눈치 줬어요 김가루도 말 하니까 그제서야 아맞다 하고 갖다 주시고.. 그냥 김치랑만 비벼 먹을 뻔 ㅠ 근디 볶음밥은 개존맛이라 1점 추가로 ...","0",""
"1","여기 알바생 인지 직원인지 모르겠는데 교육 다시 시키세요;;  밥 다먹고 나갔다가 잠깐 화장실 급해서 다시 들어가서 잠깐 화장실 쓰려고 했는데 x발 마감 해야되는데  이러시면서 궁시렁되시고 일부러 다 들으라고 하는 것 처럼 하네요 ㅋㅋㅋㅋㅋㅋㅋ 진짜 뭐하자는건지 상당히 기분 나쁘네요 못 배운거 티좀 내지 마십쇼 모자라신건가 그냥…","0",""
"4","곰창 개꿀맛 추천","1",""
"5","","1",""
"3","공기 엄청 탁함 여기 직원들 건강이 걱정될 정도로 곱창은 신선한데 왤케 짠거임?? 두번시켰는데 처음 주문한건 괜찮았는데 두번째껀 소태임","0",""
"1","환기 하도 안시켜서 가자마자 후추뿌린거같은 매캐한 냄새에 기침,재채기가 계속나옴. 기름 안빠지는 판이라 진짜 겁나느끼함(이건 개인취향일수있음). 곱창집인데 밥떨어졌다고 30분 기다려도 볶음밥 없다그래서 나옴 ㅎ 최악","0",""
"1","아는 동생한테 여기 말고 다른 곳으로 오라고 했는데 기어코 검색하면 이 가게가 제일 위에 뜬다고 여기로 오고 주문도 미리 시켰길래 어쩔 수 없이 먹음 매뉴가 나오고 걱정은 현실이 됨 너무 질김 소주 한 잔에 한 입 먹다 도저히 질겨서 바로 뱉고 계산하고 나옴 사람은 왜 이렇게 많은지 알 수 없음","0",""
"5","줄서서 먹음. 맛있다. 둘이서 삼인분 시켰다. 가루 같은거 뿌려서 구우시는데 딱 맛있다. 분위기도 맛있다. 다만 직원 부르는 시스템이 없어서 벨 설치좀 해야 할듯. ","1",""
"4","맛있어요.. 곱창보다 대창을 선호하는데 여긴 곱창 곱이 쓰지않고 꽉 차있어서 맛있었어요. 부추에 곱창 기름이 스며들어서 부추랑 같이 먹으니까 더 맛있었습니다. 근데 사람이 엄청 많은데 직원분들이 별로없어서 굽기를 잘 봐주시는 것 같진 않아요. 너무 바빠보여서 탄 부분 잘라내달라고 하는 것도 죄송스러운.. 직원분들 더 있어야할거같아요. ","1",""
"5","역시 맛집이라 대기가 많던데 오래 기다렸다고 음료서비스도 주시고 사장님넘감사했습니다. 아래 댓글에 서비스 불만글이 좀 있던데 바쁜만큼 이해할 수 있는정도였고 음식점이 맛있으면 됐죠. 큰 서비스 기대없이 방문하면 술한잔하기 최고입니다~","1",""
"2","개인적으로 강남에서 괜찮다는 음식점이 몇 없다 생각하지만 여기만큼은 최고라 했는데… 최근 방문했을 때 큰 실망을 함. 신촌황소곱창 매장 중 여기 지점이 가장 맛있었으나 이젠 가장 별로인 곳으로 남게 됨. 어떻게 이렇게 질기고 맛이 변할 수 있는지… 맛이 변한건지 아님 내가 하필 상태 별로인 날 방문을 한 건지. 아쉽습니다. ","0",""
"3","아주머니가 처음부터 계속 손질해주시는데 타이밍 지나면 좀 타더라구요 손님 점점 많아지니까 테이블 신경 못써주심ㅠㅠ그래도 무난했어요","0",""
"5","2번 갔는데 다 맛있었어요 주차도 돼서 편해요 밑반찬도 괜찮은 편","1",""
"1","귀찮아서 리뷰 안남기는 스타일인데 여긴 많이 실망이라 남겨요..  2년전부터 강남에서 곱창 땡기면 여기갔는데 곱창이나 대창 둘다 갈수록 점점 질겨져서 먹기 힘들어짐. 이젠 절대 안가려함. 코로나로 힘드신지 직원분들 표정에 영혼도 없고 단체손님만 잘해주는 느낌? 기본으로 나오는 국은 깊은맛이 없고 맵기만 함. 볶음밥도 불판에 올리고 슥슥 대충 휘젓는게 다임....","0",""
"3","무난","0",""
"3","","0",""
"2","너무질겨요ㅜㅜ","0",""
"3","비싸긴한데 괜찮아요~","0",""
"1","너무너무너무너무질겨서 삼킬수가 없네요ㅠㅠ","0",""
"1","할말은 많지만 하지 않습니다","0",""
"3","제 입맛엔 맛있었어요 다만 직원이 부족해서(?)인지 필요한거 주문할 때 제때 받기 힘들더라구요ㅠㅠ 볶음밥 안 시켰으면 섭할 뻔 했습니다 가게가 좀 더 깨끗하고 서비스가 좋았으면 진짜 자주 갈 것 같아요","0",""
"3","그닥입니다","0",""
"3","비싸긴한데 괜찮아요~","0",""
"1","너무너무너무너무질겨서 삼킬수가 없네요ㅠㅠ","0",""
"1","할말은 많지만 하지 않습니다","0",""
"3","제 입맛엔 맛있었어요 다만 직원이 부족해서(?)인지 필요한거 주문할 때 제때 받기 힘들더라구요ㅠㅠ 볶음밥 안 시켰으면 섭할 뻔 했습니다 가게가 좀 더 깨끗하고 서비스가 좋았으면 진짜 자주 갈 것 같아요","0",""
"3","그닥입니다","0",""
"5","맛있어요!! 분위기도 좋고 담에 또 가야겠어요 ㅎㅎ굳굳","1",""
"2","야채는 직접 구워 먹어야 합니다. 맛있는 익힘정도로 잘 구워주던 양갈비 전문점 가다가 그냥 굽기만 하는 곳에서 먹으니 내가 직접 구워먹는게 낫겠다 싶어요! (겉은 타고 속은 안익고, 와규 등심은 삼겹살처럼 바싹 태우더라구요) 재방문 의사 없어요! ","0",""
"5","맛있네요 분위기도 좋고 고기도 다 구워주시고 다 좋습니다","1",""
"4","괜찮앗어요 재방문 의사 잇는데 낫또밥은 너무 비림 ㅠ","1",""
"5","좋아요 와인 콜키지도 됨!","1",""
"3","분위기 짱 좋음 금요일밤에 가니까 웨이팅 좀 있음! 예약 꼭 하고 가시길! 양갈비는 언제먹든 맛있는데 고기 구워주는 직원분 스킬이 아쉬웠다.. 양갈비는 자고로 센불에 고기 겉면 빠짝! 익히고 미디움으로 먹는게 최곤데… 숯빼주실때보니까 숯 양이 적었던거 같아서 불이 약했던거 같기두 하당 그리고 양갈비 뼈대쪽은 더 오래 익혀야 살이 익는데 너무 대충 주셔서 나...","0",""
"5","맛 굳 친철 굳","1",""
"3","1년만에 다시 방문 평점 5점에서 3점으로 바꿔요 맛은 달라진게 없는데….","0",""
"4","맛있고 비쌉니다! 모둠2인분, 된장찌개","1",""
"1","친구 추천으로 생일날에 일부러 주말에 방문.코로나로 손님도 없었고 테이블 자리도 텅 비었지만 시간이 몇분 남지 않았다는 이유로 고기도 많이 남았고 가격도 싸지 않은데 눈치없이 불판을 빼서 이해가 안대고 직원의 서비스도 너무 마음에 안듬...두번째 방문이지만 너무 실망이며 직원의 사과 하는태도도 너무 성의가 없어서 강남 매장은  두번다시 방문하고 싶지가 않네...","0",""
"5","","1",""
"5","김희X 직원분이 상당히 고기를 잘 구우십니다 ~ !","1",""
"5","맛있습니다","1",""
"5","흠 존맛인정 ","1",""
"2","장점 - 1. 맛있음 2.콜키지 프리 3.위치  단점 - 1. ⭐️불친절⭐️ 말하고 있는데 무시하고 가는 직원은 처음 봄ㅋㅋ근데 더 짜증나는건 들어올 때 부터 기분 나빴는데 그 직원이 처음부터 끝까지 고기 구워줌 검정색 마스크 코 반까지만 쓰고 나이가 좀 있으시던 분^^ 옆테이블은 나이대가 높아서 그런지 열심히 설명해주더니ㅋㅋ 우리는 걍 고기만 구워 줌  ...","0",""
"4","맛있음","1",""
"2","방문은 19시 50분쯤 했는데, 20시에 주문 마감하신다 함. 어느정도 먹고나서 추가로 이것저것 주문하고 싶어 아쉬웠지만, 사회적 거리두기 때문에 21시까지만 영업이 가능하고 나 또한 충분히 늦게 방문했음을 인지했으므로 이에 대해서는 불만이 없다.  좋은 점 - 고기 상태는 정말 좋고, 직원분들이 어느정도 구워주셔서 비교적 편하게 먹을 수 있다. 밑반찬 류...","0",""
"5","","1",""
"5","","1",""
"4","분위기도 좋고 직원분도 친절하셔서 좋았어요!  설명 하나하나 친절하게 해주시고. 무엇보다 콜키지 프리라 좋아요","1",""
"1","핵노맛 식당 분위기가 1점","0",""
"5","주말엔 점심특선 안 됨ㅠ 안 바쁠 때 가서 그런지 하나하나 잘 구워주시고 육즙 굿 미디움으로 먹어야 맛있다 함 사이드도 다 맛있다 하이볼, 고메볼(고량주 하이볼) 존맡탱 비싼 게 흠","1",""
"5","맛있고 직원분들이 친절해서 좋아요. 가성비도 좋음. 생각보다 고기가 많이서 한꺼번에 안시키는걸 추천. 와인은 여기서 안마셔봐서 모르겠어요. 아마도..? 괜찮을듯","1",""
"5","새로 생겨서 정말 깨끗한 인테리어, 마감시간에 지켜봤는데 다 깨끗이 청소하길래 신뢰... 직접 구워주셔서 맛도 훌륭하고 소스나 찬도 좋았다. 와인콜키지도 병당1만원에 서비스가 좋다. 말 한마디를 해도 좋게 해주는 서비스에 기분이 좋은 곳. ","1",""
"1","핵노맛 식당 분위기가 1점","0",""
"5","주말엔 점심특선 안 됨ㅠ 안 바쁠 때 가서 그런지 하나하나 잘 구워주시고 육즙 굿 미디움으로 먹어야 맛있다 함 사이드도 다 맛있다 하이볼, 고메볼(고량주 하이볼) 존맡탱 비싼 게 흠","1",""
"5","맛있고 직원분들이 친절해서 좋아요. 가성비도 좋음. 생각보다 고기가 많이서 한꺼번에 안시키는걸 추천. 와인은 여기서 안마셔봐서 모르겠어요. 아마도..? 괜찮을듯","1",""
"5","새로 생겨서 정말 깨끗한 인테리어, 마감시간에 지켜봤는데 다 깨끗이 청소하길래 신뢰... 직접 구워주셔서 맛도 훌륭하고 소스나 찬도 좋았다. 와인콜키지도 병당1만원에 서비스가 좋다. 말 한마디를 해도 좋게 해주는 서비스에 기분이 좋은 곳. ","1",""
"3","브레이크타임은 말로만 브레이크 타임인듯 연예인들 밥먹는거 자주 보네요","0",""
"5","맛있어요","1",""
"5","맛있어요. 찌개류가 먹고싶어지긴 하지만 참아야하는 곳","1",""
"3","좀 가격이 있지만 맛있고, 친절합니다^^ (룸예약, 주차 가능)","0",""
"4","","1",""
"4","고기도 맛있고, 크림 볶음밥이 진짜 맛있당ㅋㅋㅋ","1",""
"3","시설 좋고 분위기 좋고 직원 서비스 좋다. 결정적으로 고기맛이 별로인게 함정.","0",""
"3","한번은 가볼만한집 맛은 땅코가 낫다","0",""
"4","가족식사하기 좋아요","1",""
"4","맛있게 먹었어요","1",""
"4","","1",""
"3","삼겹살 쥬이시 하긴 한데 살코기 부분은 너무 퍽퍽하고 목살리 더 맛있는데 요즘 더 맛있는 목살 집도 많아서.. 크림 볶음밥도 그냥 그랬어요.","0",""
"4","매니저님인지 사장님이신지 모르겠지망 홀을 진두지휘(?)하시는 여성 분 너무 친절하시고 사교성도 좋으시고 영업 스킬도 대박이었어용 고기 다 맛있게 구워주세요 청결하고 깔끔한 서타일이구 테이블 형태가 조용히 먹을 수 있는 형태는 아니지망 고깃집이 다 그렇죠 뭐 같이 먹는 사람이 넘모 맛있어하면서 행복해해서 저도 기분 좋았습니다 :-)","1",""
"4","괜찮앗어요 사장님 친절해요 ","1",""
"5","","1",""
"5","","1",""
"4","엄청 비싼데 정말 맛있음 ㅠㅠ 여자 둘이 가서 술도 안마셨는데 9만원 나왔지만 입안에서 육즙이 팡팡 터지는 그 맛을 잊을 수가 없네요. ","1",""
"2","음식점 나름 쾌적하고 서비스도 좋은데 고기 맛도 그냥 그런데다가 비싸기까지 해서 비추...","0",""
"5","친절함","1",""
"1","맛은 있는데 가성비가 ㅜ  ㅜ 150그람 1인분이라 둘이서 배부르게 먹었더니 10마넌나왔어용 ㅎㅎ... 뷔페를 갈걸 그랫어용","0",""
"5","월급받아서 또올꺼얌.. 트러플크림볶음밥까지 먹어야해... 안그럼 다안먹은거임...","1",""
"5","맛있어요","1",""
"4","","1",""
"5","숙성 삼겹살!! 가성비 굳","1",""
"4","","1",""
"3","","0",""
"2","직원 싹바가지없고 그릇다 ㅈㄴ 더러움 근데 껍데기가 존맛탱ㅜ 그리고 껍데기는 안쌈ㅋㅋㅋ","0",""
"1","진심으로 기분나쁘게 먹은곳 사장이랑 직원은 턱스크 아니면 마스크 벗고 손님상대하며 음식만지고있지않나 육회시켰더니 간은 안돼있고 육회깻잎노른자비빈맛이라 소스달라하니 소스는없다하고,,(그럼 기본간이라도 잘해주던가,, 아니면 손님 이렇게 드셔보세요 혹은 저희가 간을 세게 안하는 식당이라서요 , 라는 액션정도는 취하는게 맞다 생각함) 손님들어올때 눈인사는커녕 큐알...","0",""
"1","냉삼. 싸 보이긴 해도 먹다보면 글쎄... 고기도 좀...","0",""
"1","최악  아주머니 싸가지도 없고 냄새도 나고   개구림  스트레스 쌓여 나옴","0",""
"5","전반적으로 셀프 고깃집 스타일이라 처음가면 조금 정신없을 수도 있을 것 같다. 그러나 허름한 선술집, 동네 돼지갈비 맛집을 선호하는 사람이라면... 강남역 일대에서 이만한 집을 찾기 어렵다. 예전에는 웨이팅도 상당했다고 들었는데 지금은 바이러스 감염 때문에 그런 불편함도 없다. 굳~이~ 아쉬운 점을 하나 꼽자면... 셀프 반찬바(?)에 놓인 개인접시 사이즈...","1",""
"4","","1",""
"4","","1",""
"4","","1",""
"4","","1",""
"1","후기 신고해서 삭제하네요  두꺼비 닮은 알바가 불친절해요 많이불친절해요","0",""
"5","제가 가본 냉동삼겹살집중 원탑. 호일 안쓰는게 가장 큰 장점.  냉동의 그 고유한 맛 굿입니다 고사리가 특히 굿굿 사장님은 친절하세요  알바들은 어딜가나 어쩔수없다고 생각함. 제가 갔을 땐 다들 친절하셨음","1",""
"4","고사리 부시고 싶을 때 갑니다. 돈가스도 좋아요. ","1",""
"5","저 왔을때는 직원분들 너무 친절하셧구용 싼맛에 먹기좋은 고기같아요!! 돼지냄새 예민하신분들께는 잡내가 좀 날수도있는데 1인분 4900원인거치곤 너무 맛잇게 먹었습니당~ 주전자 우동도 짱. 걍 음식들 다 싸고 양이 엄청많아요!","1",""
"1","","0",""
"1","사장인지 알바인지 모르겠는데 키180정도되고 안경안끼고 조끼패딩 입는 남자 진짜 ㅈㄴ 싸가지 없음 밥맛도 떨어질 정도임;; 진짜 가지마세요 돼지고기 3인분이상 주문해야하고 굳이 강남 변두리까지와서 먹을이유는 없다고 생각함 오지마세요","0",""
"2","가격에 딱 알맞은 맛.  가성비로는 나쁘지 않았으나 직원이 매우 불친절해요.  값이 저렴하더라도 음식을 적게 시킨것도 아니고 고기 5인분에 밥, 찌개까지 주문했습니다.   가게에 들어가자마자 인사 없고, 테이블 안내 없고, 이용안내 없었습니다. 선주문, 밑반찬 및 수저는 셀프인거 미리 알고 가서 상관은 없었지만 이 정도 응대는 기본적인거라고 생각합니다. 주...","0",""
"4","","1",""
"4","맛은 있으나 직원들이 너무 별로","1",""
"3","이 동네 사는 사람이자 생활외식인으로서 그냥 드는 생각은 말입니다. 이 가격대의 삼겹살을 먹을생각을 하면서 조용한 룸으로 예약을 하겠다는 생각 자체를 하는 분들이 신기하다입니다. ","0",""
"1","첫 주문이 기본 3인분부터면 1인분에 5000원이 아니라 7500원이죠~왜 거짓말 하시나요...?","0",""
